📋 Showing application logs...
[33mapi-gateway-1           | 2025/10/12 08:13:48 [info] 23#23: *1290 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:48 [info] 23#23: *1292 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:48 [info] 23#23: *1294 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:48 [info] 23#23: *1296 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:48 [info] 23#23: *1298 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:48 [info] 23#23: *1300 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1302 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1304 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1306 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1308 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1310 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1312 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1314 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1316 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1318 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1320 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1322 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1324 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1326 client 172.22.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/10/12 08:13:49 [info] 23#23: *1328 client 172.22.0.1 closed keepalive connection[0m
payment-service-1       | timestamp="2025-10-12T08:01:56.080Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="77" content="{"amount":25.5,"recipient":"mike@restaurant.com","description":"Lunch bill"}" classification="Normal" event="PaymentProcessingSuccess" paymentId="1760256116078" userId="1760111615761" amount="25.5"
payment-service-1       | timestamp="2025-10-12T08:01:58.110Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" classification="Normal" event="AuthenticationAttempt" hasToken="true"
notification-service-1  | timestamp="2025-10-12T08:01:43.861Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="145" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111614582" email="bob@paypal.com" type="PAYMENT_SUCCESS"
payment-service-1       | timestamp="2025-10-12T08:01:58.115Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" classification="Normal" event="AuthenticationSuccess" userId="1760111615761" email="charlie@paypal.com"
notification-service-1  | timestamp="2025-10-12T08:01:43.861Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="145" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256103861" userId="1760111614582"
notification-service-1  | timestamp="2025-10-12T08:01:45.894Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="147" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $25.5 to mike@restaurant.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111614582" email="bob@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-10-12T08:01:45.895Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="147" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $25.5 to mike@restaurant.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1760256105895" userId="1760111614582"
payment-service-1       | timestamp="2025-10-12T08:01:58.115Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" classification="Normal" event="PaymentProcessingAttempt" userId="1760111615761" email="charlie@paypal.com" amount="300" recipient="landlord@apartments.com"
notification-service-1  | timestamp="2025-10-12T08:01:47.930Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="150" content="{"userId":1760111614582,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $300 to landlord@apartments.com was successful."}" classification="Normal" event="NotificationReceived" userId="1760111614582" email="bob@paypal.com" type="PAYMENT_SUCCESS"
