📋 Showing application logs...
auth-service-1          | timestamp="2025-09-22T12:27:42.554Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="204" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NTg1NDQwMzUyNDQsImVtYWlsIjoiYm9iQHBheXBhbC5jb20iLCJpYXQiOjE3NTg1NDQwMzgsImV4cCI6MTc1ODYzMDQzOH0.UvaHyItKZp1XUtBud2YpHDM4ck8XHfMQyNWshQ7rX8A"}" classification="Normal" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-09-22T12:27:42.555Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="204" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NTg1NDQwMzUyNDQsImVtYWlsIjoiYm9iQHBheXBhbC5jb20iLCJpYXQiOjE3NTg1NDQwMzgsImV4cCI6MTc1ODYzMDQzOH0.UvaHyItKZp1XUtBud2YpHDM4ck8XHfMQyNWshQ7rX8A"}" classification="Normal" event="TokenVerificationSuccess" userId="1758544035244" email="bob@paypal.com"
notification-service-1  | timestamp="2025-09-22T12:27:36.450Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="145" content="{"userId":1758544035244,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" classification="Normal" event="NotificationReceived" userId="1758544035244" email="bob@paypal.com" type="PAYMENT_SUCCESS"
auth-service-1          | timestamp="2025-09-22T12:27:44.592Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="209" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NTg1NDQwMzY0MDMsImVtYWlsIjoiY2hhcmxpZUBwYXlwYWwuY29tIiwiaWF0IjoxNzU4NTQ0MDM5LCJleHAiOjE3NTg2MzA0Mzl9.j7soRXDAAqxXfUELBiOwWn4eQex9_I_qwX3tIphLC5A"}" classification="Normal" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-09-22T12:27:44.593Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="209" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NTg1NDQwMzY0MDMsImVtYWlsIjoiY2hhcmxpZUBwYXlwYWwuY29tIiwiaWF0IjoxNzU4NTQ0MDM5LCJleHAiOjE3NTg2MzA0Mzl9.j7soRXDAAqxXfUELBiOwWn4eQex9_I_qwX3tIphLC5A"}" classification="Normal" event="TokenVerificationSuccess" userId="1758544036403" email="charlie@paypal.com"
payment-service-1       | timestamp="2025-09-22T12:27:48.676Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="77" content="{"amount":25.5,"recipient":"mike@restaurant.com","description":"Lunch bill"}" classification="Normal" event="PaymentProcessingSuccess" paymentId="1758544068675" userId="1758544036403" amount="25.5"
auth-service-1          | timestamp="2025-09-22T12:27:46.631Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="209" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NTg1NDQwMzY0MDMsImVtYWlsIjoiY2hhcmxpZUBwYXlwYWwuY29tIiwiaWF0IjoxNzU4NTQ0MDM5LCJleHAiOjE3NTg2MzA0Mzl9.j7soRXDAAqxXfUELBiOwWn4eQex9_I_qwX3tIphLC5A"}" classification="Normal" event="TokenVerificationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-09-22T12:27:50.703Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" classification="Normal" event="AuthenticationAttempt" hasToken="true"
notification-service-1  | timestamp="2025-09-22T12:27:36.450Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="145" content="{"userId":1758544035244,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" classification="Normal" event="NotificationStored" notificationId="1758544056450" userId="1758544035244"
payment-service-1       | timestamp="2025-09-22T12:27:50.708Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" classification="Normal" event="AuthenticationSuccess" userId="1758544036403" email="charlie@paypal.com"
notification-service-1  | timestamp="2025-09-22T12:27:38.489Z" Method="POST" URL="/send" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" lenght="147" content="{"userId":1758544035244,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $25.5 to mike@restaurant.com was successful."}" classification="Normal" event="NotificationReceived" userId="1758544035244" email="bob@paypal.com" type="PAYMENT_SUCCESS"
