payment-service-1       | timestamp="2025-10-13T17:09:55.373Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" event="PaymentProcessingAttempt" userId="1760375366290" email="bob@paypal.com" amount="300" recipient="landlord@apartments.com"
payment-service-1       | timestamp="2025-10-13T17:09:55.374Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" event="PaymentProcessingSuccess" paymentId="1760375395373" userId="1760375366290" amount="300"
[31mpayment-service-1       | timestamp="2025-10-13T17:09:57.405Z" event="NotificationDispatchFailure" error="getaddrinfo EAI_AGAIN notification-service"[0m
payment-service-1       | timestamp="2025-10-13T17:09:57.407Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="AuthenticationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-10-13T17:09:57.413Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="AuthenticationSuccess" userId="1760375366290" email="bob@paypal.com"
payment-service-1       | timestamp="2025-10-13T17:09:57.413Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="PaymentProcessingAttempt" userId="1760375366290" email="bob@paypal.com" amount="75.25" recipient="utilities@company.com"
auth-service-1          | timestamp="2025-10-13T17:09:57.412Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="204" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjAzNzUzNjYyOTAsImVtYWlsIjoiYm9iQHBheXBhbC5jb20iLCJpYXQiOjE3NjAzNzUzNjksImV4cCI6MTc2MDQ2MTc2OX0.XX7JMbm9COv19G4aJ4Qt2UNfzFmOJkKFk31KKtIfKSU"}" event="TokenVerificationSuccess" userId="1760375366290" email="bob@paypal.com"
auth-service-1          | timestamp="2025-10-13T17:10:00.383Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="209" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjAzNzUzNjc0NjMsImVtYWlsIjoiY2hhcmxpZUBwYXlwYWwuY29tIiwiaWF0IjoxNzYwMzc1MzcxLCJleHAiOjE3NjA0NjE3NzF9.EBq7L7sNZsw_J7brtmXIk_6AwszGqd3yp2gNYDVOtpQ"}" event="TokenVerificationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-10-13T17:09:57.415Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="PaymentProcessingSuccess" paymentId="1760375397414" userId="1760375366290" amount="75.25"
payment-service-1       | timestamp="2025-10-13T17:09:59.445Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="AuthenticationAttempt" hasToken="true"
[31mpayment-service-1       | timestamp="2025-10-13T17:10:00.380Z" event="NotificationDispatchFailure" error="getaddrinfo EAI_AGAIN notification-service"[0m
payment-service-1       | timestamp="2025-10-13T17:10:00.385Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="AuthenticationSuccess" userId="1760375367463" email="charlie@paypal.com"
payment-service-1       | timestamp="2025-10-13T17:10:00.385Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="PaymentProcessingAttempt" userId="1760375367463" email="charlie@paypal.com" amount="50" recipient="john@example.com"
payment-service-1       | timestamp="2025-10-13T17:10:00.386Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="PaymentProcessingSuccess" paymentId="1760375400385" userId="1760375367463" amount="50"
payment-service-1       | timestamp="2025-10-13T17:10:02.418Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="AuthenticationAttempt" hasToken="true"
[31mpayment-service-1       | timestamp="2025-10-13T17:10:02.420Z" event="NotificationDispatchFailure" error="getaddrinfo EAI_AGAIN notification-service"[0m
auth-service-1          | timestamp="2025-10-13T17:10:00.383Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="209" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjAzNzUzNjc0NjMsImVtYWlsIjoiY2hhcmxpZUBwYXlwYWwuY29tIiwiaWF0IjoxNzYwMzc1MzcxLCJleHAiOjE3NjA0NjE3NzF9.EBq7L7sNZsw_J7brtmXIk_6AwszGqd3yp2gNYDVOtpQ"}" event="TokenVerificationSuccess" userId="1760375367463" email="charlie@paypal.com"
payment-service-1       | timestamp="2025-10-13T17:10:02.425Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="AuthenticationSuccess" userId="1760375367463" email="charlie@paypal.com"
payment-service-1       | timestamp="2025-10-13T17:10:02.426Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="PaymentProcessingAttempt" userId="1760375367463" email="charlie@paypal.com" amount="150.75" recipient="sarah@store.com"
payment-service-1       | timestamp="2025-10-13T17:10:02.427Z" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="PaymentProcessingSuccess" paymentId="1760375402426" userId="1760375367463" amount="150.75"
[31mpayment-service-1       | timestamp="2025-10-13T17:10:05.390Z" event="NotificationDispatchFailure" error="getaddrinfo EAI_AGAIN notification-service"[0m
[31mpayment-service-1       | timestamp="2025-10-13T17:10:07.431Z" event="NotificationDispatchFailure" error="getaddrinfo EAI_AGAIN notification-service"[0m
payment-service-1       | timestamp="2025-10-13T18:00:15.136Z" Method="GET" URL="/health" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="0" content="{}" event="HealthCheck" service="payment-service"
auth-service-1          | timestamp="2025-10-13T17:10:02.423Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="209" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjAzNzUzNjc0NjMsImVtYWlsIjoiY2hhcmxpZUBwYXlwYWwuY29tIiwiaWF0IjoxNzYwMzc1MzcxLCJleHAiOjE3NjA0NjE3NzF9.EBq7L7sNZsw_J7brtmXIk_6AwszGqd3yp2gNYDVOtpQ"}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-10-13T17:10:02.424Z" Method="POST" URL="/verify" User-Agent="axios/1.12.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" lenght="209" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjAzNzUzNjc0NjMsImVtYWlsIjoiY2hhcmxpZUBwYXlwYWwuY29tIiwiaWF0IjoxNzYwMzc1MzcxLCJleHAiOjE3NjA0NjE3NzF9.EBq7L7sNZsw_J7brtmXIk_6AwszGqd3yp2gNYDVOtpQ"}" event="TokenVerificationSuccess" userId="1760375367463" email="charlie@paypal.com"
auth-service-1          | timestamp="2025-10-13T18:00:14.103Z" Method="GET" URL="/health" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="0" content="{}" event="HealthCheck" service="auth-service"
auth-service-1          | timestamp="2025-10-13T18:00:21.306Z" Method="POST" URL="/register" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="53" content="{"email":"alice@paypal.com","password":"password123"}" event="RegistrationAttempt" email="alice@paypal.com"
auth-service-1          | timestamp="2025-10-13T18:00:21.479Z" Method="POST" URL="/register" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="53" content="{"email":"alice@paypal.com","password":"password123"}" event="RegistrationSuccess" email="alice@paypal.com" userId="1760378421479"
auth-service-1          | timestamp="2025-10-13T18:00:22.507Z" Method="POST" URL="/register" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="51" content="{"email":"bob@paypal.com","password":"password123"}" event="RegistrationAttempt" email="bob@paypal.com"
auth-service-1          | timestamp="2025-10-13T18:00:22.654Z" Method="POST" URL="/register" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="51" content="{"email":"bob@paypal.com","password":"password123"}" event="RegistrationSuccess" email="bob@paypal.com" userId="1760378422654"
auth-service-1          | timestamp="2025-10-13T18:00:23.683Z" Method="POST" URL="/register" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="55" content="{"email":"charlie@paypal.com","password":"password123"}" event="RegistrationAttempt" email="charlie@paypal.com"
auth-service-1          | timestamp="2025-10-13T18:00:23.815Z" Method="POST" URL="/register" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="55" content="{"email":"charlie@paypal.com","password":"password123"}" event="RegistrationSuccess" email="charlie@paypal.com" userId="1760378423815"
auth-service-1          | 0="L" 1="o" 2="g" 3="i" 4="n" 5="A" 6="t" 7="t" 8="e" 9="m" 10="p" 11="t" timestamp="2025-10-13T18:00:24.859Z" Method="POST" URL="/login" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="53" content="{"email":"alice@paypal.com","password":"password123"}" event="Normal"
auth-service-1          | timestamp="2025-10-13T18:00:24.995Z" Method="POST" URL="/login" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="53" content="{"email":"alice@paypal.com","password":"password123"}" event="LoginSuccess" email="alice@paypal.com" userId="1760375365130"
auth-service-1          | timestamp="2025-10-13T18:00:25.042Z" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="0" content="{}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-10-13T18:00:25.043Z" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="0" content="{}" event="TokenVerificationSuccess" userId="1760375365130" email="alice@paypal.com"
auth-service-1          | 0="L" 1="o" 2="g" 3="i" 4="n" 5="A" 6="t" 7="t" 8="e" 9="m" 10="p" 11="t" timestamp="2025-10-13T18:00:26.072Z" Method="POST" URL="/login" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="51" content="{"email":"bob@paypal.com","password":"password123"}" event="Normal"
auth-service-1          | timestamp="2025-10-13T18:00:26.217Z" Method="POST" URL="/login" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" lenght="51" content="{"email":"bob@paypal.com","password":"password123"}" event="LoginSuccess" email="bob@paypal.com" userId="1760375366290"
